id,expression,region,universe,delay,decay,neutralization,truncation
example_001,"rank(ts_mean(close, 20) / ts_mean(close, 60))",USA,TOP3000,1,4,INDUSTRY,0.08
auto_d2ed75ddf3,"rank(ts_corr(adv20, low, 5))",USA,TOP3000,1,0,INDUSTRY,0.08
auto_0174cbf362,"rank(ts_corr(adv20, returns, 60))",USA,TOP3000,1,0,INDUSTRY,0.08
auto_8299a20153,"rank(ts_zscore(open, 3) * ts_rank(cap, 40))",USA,TOP3000,1,0,INDUSTRY,0.08
auto_01fe385049,"ts_mean(returns, 5)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_a04b190e56,"ts_zscore(close, 60)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_acf29e599b,"rank(ts_zscore(adv20, 60) * ts_rank(volume, 120))",USA,TOP3000,1,0,INDUSTRY,0.08
auto_527e20309c,"ts_delta(low, 40)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_491468ae6f,"ts_delta(volume, 20)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_22fbdaedd9,"ts_rank(low, 3)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_eb51326eb0,"ts_zscore(returns, 20)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_926694b8c0,rank((low - high) / (high + 0.001)),USA,TOP3000,1,0,INDUSTRY,0.08
auto_630e8cd0d3,"rank(ts_mean(volume, 3) / ts_mean(volume, 20))",USA,TOP3000,1,0,INDUSTRY,0.08
auto_d726728595,"rank(ts_zscore(high, 3) * ts_rank(open, 40))",USA,TOP3000,1,0,INDUSTRY,0.08
auto_3ca9eb4f1b,"ts_delta(returns, 60)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_840e902fc4,zscore(volume),USA,TOP3000,1,0,INDUSTRY,0.08
auto_88e184c40e,rank((adv20 - high) / (high + 0.001)),USA,TOP3000,1,0,INDUSTRY,0.08
auto_651afd94fe,rank((close - returns) / (returns + 0.001)),USA,TOP3000,1,0,INDUSTRY,0.08
auto_3c4c371fda,"ts_corr(open, returns, 120)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_140b66592f,"ts_covariance(low, volume, 10)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_d5b8393f33,zscore(vwap),USA,TOP3000,1,0,INDUSTRY,0.08
auto_c84f6af34b,"rank(ts_corr(returns, sharesout, 10))",USA,TOP3000,1,0,INDUSTRY,0.08
auto_5402f4a339,"rank(ts_mean(sharesout, 120) / ts_mean(sharesout, 252))",USA,TOP3000,1,0,INDUSTRY,0.08
auto_598614ee8c,"ts_delta(cap, 60)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_272d2b27e4,"ts_zscore(low, 20)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_0f09aa5f96,rank(close / volume),USA,TOP3000,1,0,INDUSTRY,0.08
auto_949603bce5,rank(returns / close),USA,TOP3000,1,0,INDUSTRY,0.08
auto_1201204241,"ts_corr(low, cap, 10)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_ef9b224827,"ts_zscore(high, 5)",USA,TOP3000,1,0,INDUSTRY,0.08
auto_5ddc586899,"rank(ts_corr(adv20, volume, 3))",USA,TOP3000,1,0,INDUSTRY,0.08
